file_name,number,title,date,author,publisher
bpt6k9753820b	45	Ma nièce Hortense : comédie en un acte / Eugène Adenis	1890	Adenis, Eugène (1854-1923). Auteur du texte	(Paris)
bpt6k9809885d	46	Madame Dugazon : comédie en un acte en vers / par M. Eugène Adenis	1877	Adenis, Eugène (1854-1923). Auteur du texte	Tresse (Paris)
bpt6k97562681	47	Une mission délicate : comédie en un acte, en vers libres / par M. Eugène Adenis	1878	Adenis, Eugène (1854-1923). Auteur du texte	Tresse (Paris)
bpt6k97822780	48	La fée des bruyères : opéra-comique en 3 actes / de *** et M. Jules Adenis , musique de M. Samuel David	1880	Adenis, Jules (1821-1900). Auteur du texte	Barbré (Paris)
bpt6k9808962f	49	Juge et partie : opéra-comique en deux actes, d'après Montfleury / Jules Adenis	1885	Adenis, Jules (1821-1900). Auteur du texte	Morris père et fils (Paris)
bpt6k9782270p	50	Ne touchez pas à la hache ! : comédie-vaudeville en un acte / par MM. Édouard Plouvier et Jules Adenis	1854	Plouvier, Édouard (1821-1876). Auteur du texte ¤ Adenis, Jules (1821-1900). Auteur du texte	J. Dagneau (Paris)
bpt6k858904b	51	Les trois souhaits : opéra-comique en un acte / par Jules Adenis , musique de Ferdinand Poise	1874	Adenis, Jules (1821-1900). Auteur du texte	Michel Lévy frères (Paris)
bpt6k9809932m	52	Trop beau pour rien faire : comédie en un acte, mêlée de couplets / par MM. Édouard Plouvier et J. Adenis...	1856	Plouvier, Édouard (1821-1876). Auteur du texte ¤ Adenis, Jules (1821-1900). Auteur du texte	Michel Lévy frères (Paris)
bd6t54200176r	53	L'Angélus, opéra-comique en 1 acte, paroles de M. J. Ader, musique de M. Casimir Gide. (Paris, Opéra-Comique, 7 juillet 1834.). Numéro 53,Tome 3	1834	Ader, Jean-Joseph (1796-1859). Auteur du texte	Marchant (Paris)
bpt6k4222921q	54	L'Oncle modèle, vaudeville en 1 acte, par M. Ader. (Paris, Porte-Saint-Martin, 24 février 1839.)	1839	Ader, Jean-Joseph (1796-1859). Auteur du texte	Morain (Paris)
bpt6k97432504	55	Paris en 1880 , allégori-comico-vaudeville en un acte. Par M. Ader Verdeau	1828	Ader Verdeau. Auteur du texte	impr. de J. Tastu (Paris)
bpt6k3060105n	56	Un bon ami : comédie en un acte, en prose / par Adolphe Aderer	1891	Aderer, Adolphe (1855-1923). Auteur du texte	P. Ollendorff (Paris)
bpt6k61155586	57	Au clair de la lune : comédie en 1 acte, en vers / Jean Aicard	1870	Aicard, Jean (1848-1921). Auteur du texte	A. Lemerre (Paris)
bpt6k5400599t	58	Don Juan ou La comédie du siècle / par Jean Aicard , compositions hors texte de Jean-Paul Laurens et de E. Vidal, dessins dans le texte de L. Montégut, gravures de Champollion, Delavallée, Baud (15 septembre 1889)	1896	Aicard, Jean (1848-1921). Auteur du texte	E. Dentu (Paris)
bpt6k9601970b	59	Mascarille : à-propos en vers, pour l'anniversaire de Molière, dit à la Comédie-Française par Coquelin aîné, le 15 janvier 1873 / Jean Aicard	1873	Aicard, Jean (1848-1921). Auteur du texte	A. Lemerre (Paris)
bpt6k62087k	60	La mort de Louis XVI : tragédie en 3 actes	1793	Aignan, Étienne (1773-1824). Auteur du texte ¤ Berthevin, Jules-Julien-Gabriel (1769-183.?). Auteur du texte	chez les marchands de nouveautés (Paris)
bpt6k9782277k	61	Polyxène , tragedie en trois actes, et en vers, représentée pour la première fois sur le Théâtre-François, le 23 nivôse, an 12. Par M. Aignan	1804	Aignan, Étienne (1773-1824). Auteur du texte	impr. de A. Egron (Paris) ¤ les marchands de nouveautés (Paris)
bpt6k4223190h	62	Le Véritable Amour, ou les Noces de village, comédie pastorale en 3 actes et en vers libres, suivie d'un divertissement composé de chants et de danses, par Louis-Maxime Aillaud père	1835	Aillaud, Louis Maxime. Auteur du texte	impr. de Réquier (Marseille)
bpt6k8701326w	63	L'Épreuve réciproque, comédie, par M. R. Alain. [Lesage. Avec la collaboration de Legrand.]	1711	Lesage, Alain-René (1668-1747). Auteur du texte ¤ Legrand, Marc-Antoine (1673-1728). Auteur du texte	J. Le Febvre (Paris)
bpt6k9775741b	64	Le matricule 1313 ! : comédie en un acte / Henri Alavoine	1894	Alavoine, Henri. Auteur du texte	Barbré (Paris)
bpt6k15216877	65	Scylla et Glaucus : tragédie représentée par l'Académie royale de musique pour la première fois le mardi 4 octobre 1746 / Paroles de d'Albaret , musique de Le Clair	1746	Albaret, D' (17..-17.. ; librettiste)	aux dépens de l'Académie (Paris)
bpt6k6548544w	66	La croisée de Berthe : comédie-vaudeville en un acte / de MM. Michel Masson et Alboise	1847	Alboize de Pujol, Jules-Édouard (1805-1854). Auteur du texte ¤ Masson, Michel (1800-1883). Auteur du texte	Beck (Paris)
bpt6k98107132	67	Le sac : comédie en un acte et en vers / par MM. André Alexandre et Gaston de Raimes	1888	Alexandre, André (1860-1927). Auteur du texte ¤ Raimes, Gaston de (1859-19..). Auteur du texte	Alcan-Lévy (Paris)
bpt6k54418642	68	Saül, tragédie en 5 actes, de Vittorio Alfieri, traduite de l'italien en français par C. P.	1840	Alfieri, Vittorio (1749-1803). Auteur du texte	(Paris)
bpt6k54418627	69	Saül, tragédie du poète italien Alfieri, traduite en vers français par M. Achille Du Laurens	1850	Alfieri, Vittorio (1749-1803). Auteur du texte	impr. de J. Fischer aîné (Avignon)
bpt6k96011851	70	Les deux Mousses : drame en trois tableaux, mêlé de chant, danse et à grand spectacle / par MM. de Pontchartrain [Maurice Alhoy] et Paulin [Paul-Auguste Gombault]	1830	Alhoy, Maurice (1802-1856). Auteur du texte ¤ Paulin (1786-1853). Auteur du texte	Bréauté (Paris)
