Relation	Catalogue ARK	Repository	Shelfmark	Title	Language	Creator	Date	Digitised by	Source images	Metadata Source	Format	Type	Gallica
http://catalogue.bnf.fr/ark:/12148/cb302485167	ark:/12148/cb302485167	Bibliothèque nationale de France	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-569	Le ravissement de Proserpine . Tragédie	français	Claveret, Jean	1640	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5455530r	4 ff., 84 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5455530r
http://catalogue.bnf.fr/ark:/12148/cb312128400	ark:/12148/cb312128400	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-6862	Les Passions esgarées, ou le Roman du temps, tragi-comédie, par le Sr de Richemont-Banchereau,...	français	Richemont-Banchereau, De	1632	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5458862p	In-8° , VIII 145 (sic pour 141) p.	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5458862p
http://catalogue.bnf.fr/ark:/12148/cb30272184s	ark:/12148/cb30272184s	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-1068	Circé , tragedie . Ornée de machines, de changemens de théatre, &amp; de musique . Par T. Corneille . Representée par la Troupe du Roy, établie au fauxbourg S. Germain	français	Corneille, Thomas	1675	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5502318j	55-[1] p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5502318j
http://catalogue.bnf.fr/ark:/12148/cb33631547q	ark:/12148/cb33631547q	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-1353	Le triomphe de l'Amour , opéra, ou pastorale en musique, imitée des amours de Diane, &amp; d'Endymion, divisée en trois parties ; mêlées de deux intermèdes. Représentée devant Sa Majesté, en son château de St-Germain-en-Laye au mois de février 1672	français		1672	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5507412z	46 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5507412z
http://catalogue.bnf.fr/ark:/12148/cb302721854	ark:/12148/cb302721854	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-1069	Circé , tragédie . Ornée de machines, de changemens de théatre, &amp; de musique . Par T. Corneille . Representée par la Troupe du Roy, établie au fauxbourg S. Germain	français	Corneille, Thomas	1675	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5510974w	[4]-50-[1] p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5510974w
http://catalogue.bnf.fr/ark:/12148/cb30297698g	ark:/12148/cb30297698g	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-868	Ballet de la jeunesse , divertissement mêlé de comédie &amp; de musique, représenté devant Sa Majesté, à Versailles, le (28) janvier 1686	français	Dancourt	1686	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5511876p	24 p. : front. gravé ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5511876p
http://catalogue.bnf.fr/ark:/12148/cb313084858	ark:/12148/cb313084858	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YE-7789 (2)	Le Jodelet, ou Le maistre valet . Comédie de M. Scarron	français	Scarron, Paul	1684	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5523977b	95 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5523977b
http://catalogue.bnf.fr/ark:/12148/cb302721614	ark:/12148/cb302721614	Bibliothèque nationale de France	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3995	Antiochus, tragi-comédie . Par T. Corneille	français	Corneille, Thomas	1666	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5544333z	[6]-76 p. ; in-12	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5544333z
http://catalogue.bnf.fr/ark:/12148/cb308628209	ark:/12148/cb308628209	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-512	Le grand et dernier Solyman, ou La mort de Mustapha , tragédie par M. Mairet. Représenté par la Troupe royalle	français	Mairet, Jean	1639	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5609755m	[14]-141 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5609755m
http://catalogue.bnf.fr/ark:/12148/cb308812602	ark:/12148/cb308812602	Bibliothèque nationale de France	Bibliothèque nationale de France, département Littérature et art, YF-490	Le jugement équitable de Charles le Hardy, dernier duc de Bourgogne, tragédie	français	Mareschal, André	1646	Bibliothèque nationale de France		http://oai.bnf.fr/oai2/OAIHandler?verb=GetRecord&metadataPrefix=oai_dc&identifier=oai:bnf.fr:gallica/ark:/12148/bpt6k5609968x	VI-98 p. ; in-4	Livre	https://gallica.bnf.fr/ark:/12148/bpt6k5609968x
